Last Name/Surname,Total,Two or More Races,Percentage,Rank,U.S. Rank
JAMES,"249,379","6,584",2.64%,48,85
HOWARD,"264,826","6,515",2.46%,49,75
COOPER,"280,791","6,486",2.31%,50,70
BROOKS,"251,663","6,443",2.56%,51,82
REED,"277,030","6,372",2.30%,52,73
ROGERS,"302,261","6,347",2.10%,53,66
RICHARDSON,"259,798","6,339",2.44%,54,80
COLEMAN,"219,070","6,112",2.79%,55,107
MORGAN,"286,280","6,012",2.10%,56,69
BAILEY,"277,845","6,001",2.16%,57,72
COOK,"302,589","5,991",1.98%,58,65
WATSON,"252,579","5,809",2.30%,59,81
WONG,"111,371","5,791",5.20%,60,274
GRAY,"246,116","5,735",2.33%,61,87
SINGH,"116,749","5,616",4.81%,62,260
SANDERS,"230,374","5,598",2.43%,63,94
HENDERSON,"218,393","5,591",2.56%,64,109
BELL,"220,599","5,537",2.51%,65,106
ALEXANDER,"204,621","5,443",2.66%,66,118
MURPHY,"308,417","5,428",1.76%,67,64
WARD,"260,464","5,418",2.08%,68,79
JENKINS,"222,653","5,388",2.42%,69,102
PERRY,"221,741","5,388",2.43%,70,103
BUTLER,"218,847","5,362",2.45%,71,108
ROSS,"229,368","5,321",2.32%,72,98
FOSTER,"227,764","5,307",2.33%,73,99
SIMMONS,"210,182","5,297",2.52%,74,114
POWELL,"224,874","5,150",2.29%,75,101
KIM,"262,352","5,142",1.96%,76,77
BARNES,"218,241","5,129",2.35%,77,110
JORDAN,"208,403","5,106",2.45%,78,116
PRICE,"235,251","5,034",2.14%,79,91
BENNETT,"247,599","4,927",1.99%,80,86
WOODS,"177,425","4,861",2.74%,81,144
KELLY,"267,394","4,840",1.81%,82,74
RUSSELL,"221,558","4,830",2.18%,83,104
PATTERSON,"205,423","4,827",2.35%,84,117
PETERSON,"278,297","4,787",1.72%,85,71
BRYANT,"192,773","4,761",2.47%,86,128
COX,"261,231","4,754",1.82%,87,78
FORD,"184,832","4,658",2.52%,88,137
HUGHES,"236,271","4,655",1.97%,89,90
HAMILTON,"201,746","4,620",2.29%,90,119
WALLACE,"197,276","4,557",2.31%,91,123
HAYES,"194,246","4,545",2.34%,92,127
GRIFFIN,"198,406","4,524",2.28%,93,122
LONG,"229,374","4,519",1.97%,94,97
OWENS,"182,719","4,513",2.47%,95,140
WOOD,"250,715","4,488",1.79%,96,84
GIBSON,"190,667","4,462",2.34%,97,130
WEST,"195,818","4,445",2.27%,98,125
MARSHALL,"183,922","4,304",2.34%,99,139
GRAHAM,"201,159","4,285",2.13%,100,120
HUNTER,"162,440","4,272",2.63%,101,160
ELLIS,"188,968","4,233",2.24%,102,131
DIXON,"159,480","4,162",2.61%,103,167
MYERS,"229,895","4,138",1.80%,104,96
HARRISON,"181,091","4,111",2.27%,105,141
COLE,"195,289","4,101",2.10%,106,126
FISHER,"214,703","4,058",1.89%,107,112
REYNOLDS,"200,247","4,045",2.02%,108,121
FREEMAN,"169,149","4,026",2.38%,109,151
KHAN,"76,171","4,014",5.27%,110,427
HENRY,"170,964","4,001",2.34%,111,149
DANIELS,"146,570","3,928",2.68%,112,187
WELLS,"176,230","3,912",2.22%,113,147
MASON,"160,213","3,813",2.38%,114,166
PATEL,"229,973","3,795",1.65%,115,95
STEVENS,"185,674","3,788",2.04%,116,135
CRAWFORD,"164,457","3,783",2.30%,117,156
TUCKER,"167,446","3,768",2.25%,118,153
PORTER,"163,054","3,767",2.31%,119,159
SIMPSON,"163,181","3,753",2.30%,120,158
MURRAY,"184,910","3,735",2.02%,121,136
HUNT,"158,421","3,723",2.35%,122,169
HOLMES,"156,780","3,716",2.37%,123,171
GORDON,"161,833","3,657",2.26%,124,161
MCDONALD,"180,497","3,628",2.01%,125,143
BOYD,"153,469","3,622",2.36%,126,176
HICKS,"158,320","3,531",2.23%,127,170
SULLIVAN,"220,990","3,514",1.59%,128,105
HAWKINS,"139,751","3,494",2.50%,129,200
SPENCER,"139,951","3,471",2.48%,130,199
SHAW,"160,400","3,449",2.15%,131,164
WARREN,"152,147","3,439",2.26%,132,181
CHANG,"81,939","3,425",4.18%,133,391
ALI,"60,002","3,396",5.66%,134,559
PAYNE,"142,601","3,380",2.37%,135,195
WEBB,"168,878","3,361",1.99%,136,152
FRANKLIN,"120,621","3,353",2.78%,137,251
GRANT,"142,277","3,344",2.35%,138,196
WILLIS,"130,152","3,319",2.55%,139,230
KENNEDY,"176,865","3,307",1.87%,140,146
PALMER,"156,601","3,304",2.11%,141,172
FERGUSON,"146,426","3,265",2.23%,142,188
WATKINS,"127,083","3,253",2.56%,143,240
ROBERTSON,"153,666","3,242",2.11%,144,175
BLACK,"154,738","3,219",2.08%,145,174
TRAN,"188,498","3,204",1.70%,146,132
BANKS,"105,833","3,154",2.98%,147,292
MILLS,"151,942","3,130",2.06%,148,182
ARMSTRONG,"135,044","3,120",2.31%,149,213
BERRY,"132,812","3,108",2.34%,150,222
MATTHEWS,"131,303","3,099",2.36%,151,226
STEPHENS,"144,646","3,066",2.12%,152,190
PERKINS,"131,440","3,063",2.33%,153,223
ROSE,"153,397","3,053",1.99%,154,177
BURNS,"165,925","3,036",1.83%,155,155
GARCIA,"1,166,120","3,032",0.26%,156,6
BRADLEY,"136,720","2,994",2.19%,157,208
DUNCAN,"135,187","2,988",2.21%,158,212
LAWRENCE,"129,699","2,983",2.30%,159,232
RICE,"149,500","2,975",1.99%,160,184
SIMS,"113,374","2,970",2.62%,161,270
HUDSON,"134,963","2,969",2.20%,162,214
KNIGHT,"136,713","2,967",2.17%,163,209
STONE,"153,329","2,959",1.93%,164,178
GREENE,"126,101","2,951",2.34%,165,241
ANDREWS,"133,799","2,944",2.20%,166,218
HARPER,"124,461","2,937",2.36%,167,245
GARDNER,"142,894","2,915",2.04%,168,194
PIERCE,"138,629","2,911",2.10%,169,202
NICHOLS,"145,584","2,897",1.99%,170,189
FIELDS,"107,522","2,860",2.66%,171,288
KELLEY,"140,693","2,856",2.03%,172,198
LANE,"134,227","2,846",2.12%,173,216
OLIVER,"115,900","2,816",2.43%,174,264
CUNNINGHAM,"135,718","2,809",2.07%,175,211
FOX,"152,334","2,803",1.84%,176,180
AUSTIN,"119,706","2,801",2.34%,177,253
RILEY,"133,872","2,785",2.08%,178,217
CHEN,"169,580","2,781",1.64%,179,150
HART,"137,184","2,757",2.01%,180,207
MONTGOMERY,"115,953","2,748",2.37%,181,263
DUNN,"141,427","2,744",1.94%,182,197
RAY,"133,171","2,730",2.05%,183,220
DOUGLAS,"101,458","2,729",2.69%,184,311
ELLIOTT,"135,765","2,715",2.00%,185,210
MCCOY,"110,744","2,691",2.43%,186,278
WEAVER,"143,837","2,690",1.87%,187,192
GEORGE,"128,625","2,624",2.04%,188,235
SILVA,"161,633","2,618",1.62%,189,163
HARVEY,"115,662","2,602",2.25%,190,266
ARNOLD,"138,893","2,597",1.87%,191,201
CHAPMAN,"127,939","2,597",2.03%,192,236
GARRETT,"110,697","2,590",2.34%,193,279
CARROLL,"134,317","2,579",1.92%,194,215
JACOBS,"118,614","2,562",2.16%,195,257
LAWSON,"119,053","2,560",2.15%,196,256
PETERS,"137,513","2,558",1.86%,197,205
RICHARDS,"130,529","2,558",1.96%,198,228
SANTOS,"137,232","2,539",1.85%,199,206
REID,"111,360","2,539",2.28%,200,275
JOSEPH,"100,959","2,514",2.49%,201,313
DEAN,"114,030","2,509",2.20%,202,269
BURTON,"110,529","2,487",2.25%,203,280
CARR,"119,076","2,477",2.08%,204,255
WHEELER,"125,058","2,464",1.97%,205,243
BYRD,"92,904","2,453",2.64%,206,331
CARPENTER,"129,898","2,429",1.87%,207,231
JOHNSTON,"131,373","2,417",1.84%,208,225
MORRISON,"121,130","2,410",1.99%,209,250
LOVE,"82,873","2,403",2.90%,210,385
NEAL,"91,694","2,393",2.61%,211,337
FULLER,"110,116","2,379",2.16%,212,281
WADE,"97,040","2,368",2.44%,213,319
LUCAS,"107,690","2,358",2.19%,214,286
OLSON,"164,035","2,346",1.43%,215,157
GILBERT,"114,940","2,345",2.04%,216,268
CRUZ,"334,201","2,339",0.70%,217,57
MARTINEZ,"1,060,159","2,332",0.22%,218,10
SNYDER,"160,262","2,324",1.45%,219,165
FRAZIER,"92,152","2,313",2.51%,220,335
SHELTON,"90,517","2,263",2.50%,221,344
CHIN,"27,487","2,232",8.12%,222,"1,279"
WILLIAMSON,"114,959","2,230",1.94%,223,267
LOWE,"92,260","2,223",2.41%,224,334
MILES,"84,942","2,217",2.61%,225,368
HOLLAND,"102,538","2,215",2.16%,226,305
FOWLER,"104,515","2,195",2.10%,227,299
LOPEZ,"874,523","2,186",0.25%,228,12
WAGNER,"155,795","2,181",1.40%,229,173
CALDWELL,"93,944","2,180",2.32%,230,327
PEARSON,"101,836","2,179",2.14%,231,308
HOPKINS,"96,810","2,178",2.25%,232,322
CHAMBERS,"94,988","2,175",2.29%,233,326
BISHOP,"116,618","2,169",1.86%,234,262
CURTIS,"101,801","2,168",2.13%,235,309
BREWER,"103,318","2,159",2.09%,236,303
BOWMAN,"105,007","2,153",2.05%,237,296
LE,"110,967","2,131",1.92%,238,277
TERRY,"87,000","2,123",2.44%,239,361
PARKS,"88,586","2,108",2.38%,240,354
WATTS,"89,649","2,107",2.35%,241,348
BARNETT,"95,681","2,105",2.20%,242,324
LYNCH,"117,708","2,095",1.78%,243,259
RYAN,"143,452","2,094",1.46%,244,193
WELCH,"108,987","2,071",1.90%,245,284
DAY,"105,091","2,070",1.97%,246,294
MEYER,"150,895","2,067",1.37%,247,183
BURKE,"122,877","2,064",1.68%,248,246
VAUGHN,"88,060","2,061",2.34%,249,356
LITTLE,"105,936","2,045",1.93%,250,291
SUTTON,"90,964","2,038",2.24%,251,341
HANSEN,"137,977","2,028",1.47%,252,204
NEWMAN,"101,931","2,028",1.99%,253,307
MCGEE,"74,542","2,028",2.72%,254,439
JENNINGS,"89,700","2,018",2.25%,255,347
HOWELL,"112,041","2,017",1.80%,256,272
FLEMING,"90,677","2,004",2.21%,257,342
GRAVES,"84,179","2,003",2.38%,258,371
MCKINNEY,"83,616","1,982",2.37%,259,377
RODRIGUEZ,"1,094,924","1,971",0.18%,260,9
THORNTON,"83,967","1,965",2.34%,261,373
LOGAN,"67,909","1,963",2.89%,262,492
BARRETT,"100,104","1,962",1.96%,263,314
HOLT,"87,531","1,961",2.24%,264,358
DAVIDSON,"103,930","1,954",1.88%,265,301
JEFFERSON,"55,179","1,953",3.54%,266,615
MAY,"103,306","1,952",1.89%,267,304
CHAN,"76,664","1,947",2.54%,268,425
BATES,"95,622","1,941",2.03%,269,325
REYES,"327,904","1,935",0.59%,270,60
HAYNES,"85,974","1,934",2.25%,271,366
HORTON,"85,195","1,934",2.27%,272,367
HALE,"86,618","1,914",2.21%,273,362
AHMED,"48,319","1,913",3.96%,274,720
FLETCHER,"83,063","1,910",2.30%,275,382
CRAIG,"92,507","1,906",2.06%,276,332
DAWSON,"83,182","1,905",2.29%,277,380
STANLEY,"96,867","1,889",1.95%,278,321
STEVENSON,"75,169","1,879",2.50%,279,432
PARK,"106,696","1,857",1.74%,280,289
FRANCIS,"78,327","1,856",2.37%,281,413
HAMPTON,"69,472","1,855",2.67%,282,482
CUMMINGS,"79,316","1,840",2.32%,283,403
MACK,"71,056","1,840",2.59%,284,468
NORRIS,"89,796","1,832",2.04%,285,346
HARDY,"80,252","1,822",2.27%,286,399
GREGORY,"91,384","1,819",1.99%,287,339
MCDANIEL,"88,728","1,819",2.05%,288,352
BUSH,"84,018","1,806",2.15%,289,372
CURRY,"74,919","1,806",2.41%,290,436
HAIL,"86,240","1,802",2.09%,291,364
SAUNDERS,"69,943","1,798",2.57%,292,476
DENNIS,"78,482","1,797",2.29%,293,409
TYLER,"66,056","1,784",2.70%,294,509
STEELE,"88,230","1,782",2.02%,295,355
TATE,"71,058","1,776",2.50%,296,467
LYONS,"84,516","1,775",2.10%,297,369
PEREZ,"681,645","1,772",0.26%,298,22
MANN,"83,510","1,770",2.12%,299,378
WALTON,"73,854","1,765",2.39%,300,446
HOFFMAN,"131,401","1,761",1.34%,301,224
SCHMIDT,"147,034","1,750",1.19%,302,185
CROSS,"77,557","1,745",2.25%,303,420
CHANDLER,"79,186","1,742",2.20%,304,404
RHODES,"90,670","1,741",1.92%,305,343
LINDSEY,"63,760","1,741",2.73%,306,529
REEVES,"81,978","1,738",2.12%,307,390
CHUNG,"43,110","1,733",4.02%,308,805
DANIEL,"80,526","1,731",2.15%,309,396
LARSON,"122,587","1,728",1.41%,310,247
HANSON,"111,144","1,723",1.55%,311,276
RAMOS,"263,464","1,713",0.65%,312,76
BLAIR,"78,026","1,701",2.18%,313,416
RODGERS,"76,095","1,689",2.22%,314,428
OBRIEN,"118,557","1,684",1.42%,315,258
FERNANDEZ,"180,842","1,682",0.93%,316,142
BENSON,"86,081","1,679",1.95%,317,365
PAGE,"82,992","1,676",2.02%,318,383
BARKER,"87,162","1,674",1.92%,319,360
HERNANDEZ,"1,043,281","1,669",0.16%,320,11
CARLSON,"120,552","1,664",1.38%,321,252
LAMBERT,"93,678","1,658",1.77%,322,329
HINES,"71,717","1,657",2.31%,323,462
WANG,"109,883","1,648",1.50%,324,282
BARBER,"78,848","1,640",2.08%,325,406
GLOVER,"66,858","1,638",2.45%,326,501
BURGESS,"73,931","1,634",2.21%,327,444
WEBSTER,"72,625","1,634",2.25%,328,453
MOSS,"76,908","1,630",2.12%,329,423
JENSEN,"115,679","1,620",1.40%,330,265
LEONARD,"91,475","1,619",1.77%,331,338
HUBBARD,"70,362","1,618",2.30%,332,470
FLOWERS,"57,549","1,611",2.80%,333,578
BALDWIN,"80,742","1,607",1.99%,334,395
CANNON,"71,085","1,607",2.26%,335,466
HOUSTON,"56,900","1,599",2.81%,336,592
HO,"49,817","1,599",3.21%,337,691
YANG,"106,033","1,590",1.50%,338,290
BOWEN,"78,822","1,584",2.01%,339,407
HARMON,"74,737","1,584",2.12%,340,438
CLARKE,"68,281","1,584",2.32%,341,487
RAMSEY,"78,350","1,583",2.02%,342,412
BLAKE,"73,797","1,579",2.14%,343,447
SHAH,"58,287","1,574",2.70%,344,573
GARNER,"74,324","1,568",2.11%,345,442
WARNER,"83,781","1,567",1.87%,346,375
FLORES,"433,969","1,562",0.36%,347,40
MALONE,"71,286","1,561",2.19%,348,465
TOWNSEND,"69,360","1,561",2.25%,349,483
INGRAM,"69,345","1,560",2.25%,350,484
BECK,"93,786","1,557",1.66%,351,328
SIMON,"80,460","1,553",1.93%,352,397
GILL,"74,948","1,544",2.06%,353,435
ROBERSON,"56,180","1,539",2.74%,354,605
SHARP,"78,990","1,532",1.94%,355,405
BURNETT,"60,791","1,532",2.52%,356,554
REESE,"73,919","1,530",2.07%,357,445
FLOYD,"66,454","1,528",2.30%,358,505
PHAM,"84,320","1,526",1.81%,359,370
NORMAN,"67,704","1,523",2.25%,360,495
MANNING,"74,949","1,521",2.03%,361,434
NEWTON,"74,092","1,519",2.05%,362,443
POWERS,"91,970","1,518",1.65%,363,336
HIGGINS,"79,803","1,516",1.90%,364,400
TODD,"71,759","1,514",2.11%,365,460
MOSLEY,"47,963","1,511",3.15%,366,730
WALTERS,"89,376","1,510",1.69%,367,350
GOODWIN,"72,451","1,507",2.08%,368,454
PAUL,"78,256","1,503",1.92%,369,415
HAMMOND,"69,515","1,502",2.16%,370,481
PATTON,"66,293","1,492",2.25%,371,506
STOKES,"61,639","1,473",2.39%,372,542
SANCHEZ,"612,752","1,471",0.24%,373,26
GRIFFITH,"78,260","1,471",1.88%,374,414
WISE,"68,649","1,469",2.14%,375,485
MAXWELL,"67,961","1,468",2.16%,376,490
HOLLOWAY,"58,040","1,468",2.53%,377,576
GIBBS,"65,064","1,464",2.25%,378,515
HODGES,"70,223","1,461",2.08%,379,471
LIU,"78,370","1,458",1.86%,380,411
CHARLES,"61,211","1,451",2.37%,381,548
RIVERA,"391,114","1,447",0.37%,382,46
WATERS,"67,929","1,447",2.13%,383,491
YEE,"20,591","1,439",6.99%,384,"1,740"
NASH,"58,714","1,427",2.43%,385,569
KELLER,"98,268","1,425",1.45%,386,317
WALSH,"105,079","1,419",1.35%,387,295
CLAY,"48,844","1,416",2.90%,388,708
POTTER,"72,175","1,415",1.96%,389,457
LIN,"79,508","1,407",1.77%,390,402
ROWE,"69,879","1,398",2.00%,391,478
MONROE,"55,136","1,395",2.53%,392,617
WOLFE,"83,928","1,393",1.66%,393,374
BOOKER,"36,840","1,393",3.78%,394,941
COBB,"65,125","1,387",2.13%,395,514
DORSEY,"43,631","1,387",3.18%,396,793
WILKINS,"58,634","1,384",2.36%,397,570
STRICKLAND,"67,769","1,382",2.04%,398,494
WEBER,"109,433","1,368",1.25%,399,283
BEIL,"59,463","1,362",2.29%,400,565
POPE,"63,881","1,361",2.13%,401,528
MCKENZIE,"59,595","1,359",2.28%,402,563
COLLIER,"56,380","1,359",2.41%,403,599
MORTON,"59,213","1,356",2.29%,404,568
WARE,"49,316","1,356",2.75%,405,700
SINGLETON,"54,621","1,355",2.48%,406,622
CHRISTIAN,"54,198","1,350",2.49%,407,626
ROBBINS,"78,381","1,348",1.72%,408,410
ADKINS,"73,599","1,347",1.83%,409,449
GOODMAN,"73,136","1,346",1.84%,410,451
SCHULTZ,"104,888","1,343",1.28%,411,297
GAINES,"43,821","1,341",3.06%,412,788
BUCHANAN,"66,648","1,340",2.01%,413,503
BRADFORD,"54,015","1,340",2.48%,414,628
COPELAND,"55,850","1,335",2.39%,415,609
DAVENPORT,"55,895","1,330",2.38%,416,608
BASS,"57,044","1,318",2.31%,417,589
OSBORNE,"66,827","1,316",1.97%,418,502
YATES,"63,254","1,309",2.07%,419,535
DICKERSON,"51,889","1,308",2.52%,420,659
CONNER,"64,572","1,304",2.02%,421,518
SUMMERS,"56,953","1,304",2.29%,422,591
BARTON,"68,233","1,303",1.91%,423,488
LLOYD,"64,202","1,303",2.03%,424,522
CARSON,"56,872","1,297",2.28%,425,593
MCBRIDE,"63,899","1,291",2.02%,426,527
BALLARD,"61,625","1,288",2.09%,427,544
CAIN,"60,948","1,286",2.11%,428,551
HODGE,"52,920","1,286",2.43%,429,643
KUMAR,"25,986","1,276",4.91%,430,"1,357"
MULLINS,"71,646","1,275",1.78%,431,463
BOONE,"53,792","1,269",2.36%,432,632
FARMER,"69,617","1,267",1.82%,433,480
CLAYTON,"56,638","1,263",2.23%,434,595
SPARKS,"63,440","1,262",1.99%,435,533
ANTHONY,"55,114","1,262",2.29%,436,618
ONEAL,"47,979","1,257",2.62%,437,729
MOODY,"64,429","1,256",1.95%,438,519
QUINN,"76,986","1,255",1.63%,439,422
WILKERSON,"48,444","1,255",2.59%,440,719
DOYLE,"74,458","1,251",1.68%,441,441
CASEY,"66,556","1,251",1.88%,442,504
NICHOLSON,"58,151","1,250",2.15%,443,575
DRAKE,"61,162","1,248",2.04%,444,549
PRATT,"61,671","1,246",2.02%,445,541
BLACKWELL,"47,175","1,245",2.64%,446,741
FITZGERALD,"75,356","1,243",1.65%,447,430
GILMORE,"48,719","1,242",2.55%,448,714
ATKINS,"51,671","1,240",2.40%,449,662
MCCLAIN,"48,165","1,238",2.57%,450,722
SHERMAN,"70,502","1,234",1.75%,451,469
HARRINGTON,"66,959","1,232",1.84%,452,500
FRENCH,"63,991","1,229",1.92%,453,525
BRIGGS,"58,408","1,227",2.10%,454,572
TORRES,"437,813","1,226",0.28%,455,37
PATRICK,"60,845","1,223",2.01%,456,552
GLENN,"51,043","1,220",2.39%,457,669
SCHNEIDER,"101,290","1,215",1.20%,458,312
BROCK,"61,369","1,215",1.98%,459,546
BRADY,"73,145","1,207",1.65%,460,450
GOMES,"24,827","1,204",4.85%,461,"1,433"
GONZALES,"214,758","1,203",0.56%,462,111
MOHAMMED,"15,132","1,201",7.94%,463,"2,395"
PERSON,"67,411","1,200",1.78%,464,496
MCGUIRE,"64,327","1,196",1.86%,465,521
MATHIS,"54,217","1,193",2.20%,466,625
WIGGINS,"50,247","1,191",2.37%,467,685
CHING,"7,417","1,189",16.03%,468,"4,772"
RANDALL,"54,764","1,188",2.17%,469,621
RANDOLPH,"41,129","1,185",2.88%,470,840
MARSH,"62,304","1,184",1.90%,471,537
BOND,"50,610","1,184",2.34%,472,679
ERICKSON,"82,085","1,182",1.44%,473,389
GREER,"57,043","1,181",2.07%,474,590
SHEPHERD,"60,479","1,179",1.95%,475,557
CASTRO,"184,134","1,178",0.64%,476,138
PARSONS,"67,310","1,178",1.75%,477,498
SWANSON,"76,897","1,177",1.53%,478,424
PITTMAN,"55,021","1,177",2.14%,479,619
BALL,"66,059","1,176",1.78%,480,508
HENSON,"48,013","1,176",2.45%,481,728
BRUCE,"53,419","1,175",2.20%,482,636
LAU,"29,792","1,174",3.94%,483,"1,187"
HOGAN,"63,085","1,161",1.84%,484,536
MORROW,"56,840","1,160",2.04%,485,594
BRIDGES,"53,682","1,160",2.16%,486,635
PITTS,"49,740","1,159",2.33%,487,693
UNDERWOOD,"57,064","1,158",2.03%,488,588
SHORT,"57,477","1,155",2.01%,489,581
CAREY,"56,322","1,155",2.05%,490,601
CAMERON,"55,240","1,155",2.09%,491,614
ENGLISH,"46,393","1,151",2.48%,492,748
WHITAKER,"56,616","1,144",2.02%,493,596
BOWERS,"66,003","1,142",1.73%,494,511
HOOD,"55,174","1,142",2.07%,495,616
PRASAD,"8,638","1,141",13.21%,496,"4,107"
WU,"71,721","1,140",1.59%,497,461
MATHEWS,"51,592","1,140",2.21%,498,663
CHRISTENSEN,"75,143","1,135",1.51%,499,433
LANG,"61,529","1,132",1.84%,500,545
CONLEY,"55,917","1,130",2.02%,501,607
LIM,"37,021","1,125",3.04%,502,936
SOUZA,"22,373","1,123",5.02%,503,"1,601"
STRONG,"45,432","1,122",2.47%,504,760
KIRK,"54,394","1,121",2.06%,505,623
SOLOMON,"46,534","1,121",2.41%,506,745
HARRELL,"50,837","1,118",2.20%,507,671
NORTON,"63,722","1,115",1.75%,508,531
KNOX,"44,742","1,114",2.49%,509,769
PRINCE,"47,168","1,113",2.36%,510,743
WILEY,"48,720","1,111",2.28%,511,713
DELACRUZ,"72,109","1,110",1.54%,512,458
DAVID,"44,040","1,110",2.52%,513,782
POOLE,"56,226","1,108",1.97%,514,604
PROCTOR,"35,636","1,108",3.11%,515,977
BECKER,"87,859","1,107",1.26%,516,357
LAM,"55,554","1,106",1.99%,517,611
BEASLEY,"47,693","1,106",2.32%,518,732
CHONG,"15,146","1,106",7.30%,519,"2,392"
GROSS,"74,503","1,103",1.48%,520,440
GRIMES,"50,245","1,095",2.18%,521,686
MEDEIROS,"19,031","1,094",5.75%,522,"1,889"
GONZALEZ,"841,025","1,093",0.13%,523,13
CHUN,"13,141","1,092",8.31%,524,"2,740"
MASSEY,"55,595","1,090",1.96%,525,610
PRESTON,"47,367","1,089",2.30%,526,736
CHASE,"52,481","1,086",2.07%,527,649
GATES,"52,569","1,083",2.06%,528,648
WYATT,"52,211","1,081",2.07%,529,653
TANNER,"48,813","1,079",2.21%,530,709
MCLAUGHLIN,"74,816","1,077",1.44%,531,437
FRANK,"67,304","1,077",1.60%,532,499
MAYS,"40,408","1,075",2.66%,533,854
HUTCHINSON,"48,781","1,073",2.20%,534,710
SHARMA,"28,559","1,071",3.75%,535,"1,236"
LUM,"8,060","1,070",13.28%,536,"4,406"
PERSAUD,"11,956","1,069",8.94%,537,"3,000"
OCONNOR,"77,923","1,068",1.37%,538,417
OLSEN,"59,356","1,062",1.79%,539,566
RICHARD,"53,893","1,062",1.97%,540,629
MELTON,"50,069","1,061",2.12%,541,688
CASTILLO,"230,420","1,060",0.46%,542,93
RAMIREZ,"557,423","1,059",0.19%,543,28
SKINNER,"54,046","1,059",1.96%,544,627
GARRISON,"50,686","1,059",2.09%,545,677
MCINTOSH,"42,379","1,059",2.50%,546,819
BENJAMIN,"40,590","1,059",2.61%,547,850
MOSES,"39,216","1,059",2.70%,548,887
AHMAD,"16,291","1,057",6.49%,549,"2,238"
MOHAMED,"27,972","1,057",3.78%,550,"1,257"
OWEN,"61,630","1,054",1.71%,551,543
MCCARTHY,"82,950","1,053",1.27%,552,384
WILCOX,"56,286","1,053",1.87%,553,602
FONG,"17,889","1,050",5.87%,554,"2,018"
ALLISON,"52,701","1,049",1.99%,555,646
VINCENT,"53,095","1,046",1.97%,556,641
YORK,"53,059","1,045",1.97%,557,642
HUFF,"55,484","1,043",1.88%,558,612
ROY,"53,159","1,042",1.96%,559,640
MEYERS,"57,127","1,040",1.82%,560,586
LAMB,"59,913","1,036",1.73%,561,561
SAVAGE,"49,914","1,033",2.07%,562,690
KEITH,"48,487","1,033",2.13%,563,718
HUMPHREY,"49,056","1,030",2.10%,564,705
JOHNS,"47,246","1,030",2.18%,565,739
MCDOWELL,"49,217","1,029",2.09%,566,702
SPEARS,"41,665","1,029",2.47%,567,830
HASSAN,"21,801","1,029",4.72%,568,"1,652"
HUANG,"72,328","1,027",1.42%,569,456
MCCORMICK,"63,649","1,025",1.61%,570,532
WOLF,"70,031","1,022",1.46%,571,474
WOODARD,"46,240","1,022",2.21%,572,750
RIVERS,"38,662","1,021",2.64%,573,897
MENDOZA,"242,771","1,020",0.42%,574,88
KEMP,"46,146","1,020",2.21%,575,753
RODRIGUES,"31,280","1,020",3.26%,576,"1,122"
BAXTER,"49,033","1,015",2.07%,577,706
BRYAN,"57,143","1,011",1.77%,578,585
COMBS,"54,257","1,009",1.86%,579,624
